locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	促动器、操动件、驱动件、驱动器、致动器、执行机构、执行器	
cmn-Latn-CN	cùdòng qì, cāodòng jiàn, qūdòng jiàn, qūdòng qì, zhìdòng qì, zhíxíng jīgòu, zhíxíng qì	
dan-Latn-DK		
deu-Latn-DE	Aktor, Aktuator	
eng-Latn-US	actuator	
fin-Latn-FI		
fra-Latn-FR	actionneur	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	アクチュエータ	
jpn-Jpan-JP	アクチュエータ	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
