locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	化学计量	化学元素；混合物；金属
cmn-Latn-CN	huàxué jìliàng	huàxué yuánsù; jīnshǔ; hùnhéwù
dan-Latn-DK		; ; 
deu-Latn-DE	Stöchiometrie	Gemisch [n], Stoffgemisch [n]; Metalle; chemisches Element
eng-Latn-US	stoichiometry	chemical element; metal; mixture
fin-Latn-FI		; ; 
fra-Latn-FR	stœchiométrie	mélange [m]; métal; élément chimique
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	かがくりょうろん	げんそ; きんぞく; こんごうぶつ
jpn-Jpan-JP	化学量論	金属；元素；混合物
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	стехиоме́трия	мета́ллы; смесь; хими́ческий элеме́нт
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
