locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	发动机、马达、引撉	；；运动
cmn-Latn-CN	fādòngjī, mǎdá, yǐnqíng	; ; yùndòng
dan-Latn-DK		; ; 
deu-Latn-DE	Motor	; ; Bewegung
eng-Latn-US	engine, motor	energy; machine; motion
fin-Latn-FI		; ; 
fra-Latn-FR	moteur	; ; mouvement
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	きかん、エンジン、モーター	；；うんどう
jpn-Jpan-JP	機関、エンジン、モーター	；；運動
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	дви́гатель	; ; движе́ние
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
