locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	润滑剂	润滑
cmn-Latn-CN	rùnhuájì	rùnhuá
dan-Latn-DK		
deu-Latn-DE	Schmiermittel, Schmierstoff [m]	Schmierung
eng-Latn-US	lubricant	lubrication
fin-Latn-FI		
fra-Latn-FR	lubricant	graissage, lubrification
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅんかつざい	じゅんかつ
jpn-Jpan-JP	潤滑剤	潤滑
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	сма́зочный материа́л	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
