locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	逻辑联结词、逻辑运算符	逻辑运算
cmn-Latn-CN	luóji liánjié cí, luóji yùnsuàn fú	luóji yùnsuàn
dan-Latn-DK		
deu-Latn-DE	Logische Verknüpfung	logische Operation
eng-Latn-US	logical connective, logical operator, sentential connective, sentential operator	logical operation
fin-Latn-FI		
fra-Latn-FR	connecteur [m] logique	opération logique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ろんりえんざんし、ろんりけつごうし	ろんりえんざん
jpn-Jpan-JP	論理演算子、論理結合子	論理演算
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	логи́ческая свя́зка, логи́ческий опера́тор, пропозициона́льная свя́зка	логи́ческая опера́ция
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
