locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	逆元素	；单位元、中立元
cmn-Latn-CN	nìyuánsù	; dānwèiyuán, zhōnglìyuán
dan-Latn-DK		; 
deu-Latn-DE	inverses Element	; neutrales Element
eng-Latn-US	inverse element	identity element, neutral element; operation (mathematics)
fin-Latn-FI		; 
fra-Latn-FR	élément symétrique	; élément identité, élément neutre
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ぎゃくげん	；たんいげん、ちゅうりつげん
jpn-Jpan-JP	逆元	；単位元、中立元
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	обра́тный элеме́нт	; нейтра́льный элеме́нт
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
