locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	代数方程	多项式
cmn-Latn-CN	dàishù fāngchéng	duōxiàngshì
dan-Latn-DK		
deu-Latn-DE	algebraische Gleichung	Polynom [n]
eng-Latn-US	algebraic equation, polynomial equation	polynomial
fin-Latn-FI		
fra-Latn-FR	équation algébrique, équation polynomiale	polynôme [m]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいすうほうていしき	たこうしき
jpn-Jpan-JP	代数方程式	多項式
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	алгебраи́ческое уравне́ние	многочле́н, полино́м
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
