locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	单位元、中立元	集、集合；二元运算
cmn-Latn-CN	dānwèiyuán, zhōnglìyuán	jí, jíhé; èryuán yùnsuàn
dan-Latn-DK		; 
deu-Latn-DE	neutrales Element	Menge; binäre Verknüpfung, zweistellige Verknüpfung
eng-Latn-US	identity element, neutral element	binary operation, dyadic operation; set
fin-Latn-FI		; 
fra-Latn-FR	élément identité, élément neutre	ensemble [m]; opération binaire
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	たんいげん、ちゅうりつげん	しゅうごう；にこうえんざん
jpn-Jpan-JP	単位元、中立元	集合；二項演算
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	нейтра́льный элеме́нт	бина́рная опера́ция, двуме́стная опера́ция; мно́жество
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
