locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	多项式方程	多项式；函数
cmn-Latn-CN	duōxiàngshì fāngchéng	hánshù; duōxiàngshì
dan-Latn-DK		; 
deu-Latn-DE	Polynomfunktion	Funktion; Polynom [n]
eng-Latn-US	polynomial function	function; polynomial
fin-Latn-FI		; 
fra-Latn-FR	fonction polynomiale	fonction; polynôme [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	たこうしきかんすう	; たこうしき
jpn-Jpan-JP	多項式関数	；多項式
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	полиномиа́льная фу́нкция	; многочле́н, полино́м
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
