locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	一元二次方程	等式、方程；平方
cmn-Latn-CN	yīyuán èrcì fāngchéng	děngshì, fāngchéng; píngfāng
dan-Latn-DK		; 
deu-Latn-DE	quadratische Gleichung	Gleichung; Quadrat [n] (Algebra)
eng-Latn-US	quadratic equation	equation; square (algebra)
fin-Latn-FI		; 
fra-Latn-FR	équation du second degré, équation quadratique	carré (algèbre); équation
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	にじほうていしき	; じじょう、にじょう、へいほう
jpn-Jpan-JP	二次方程式	；自乗、二乗、平方
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	квадра́тное уравне́ние	; квадра́т (а́лгебра)
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
