locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	变量、变数、变项	数学对象
cmn-Latn-CN	biànliàng, biànshù, biànxiàng	shùxué duìxiàng
dan-Latn-DK		
deu-Latn-DE	Variable	mathematisches Objekt
eng-Latn-US	variable (mathematics)	mathematical object
fin-Latn-FI		
fra-Latn-FR	variable [f]	objet mathématique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	へんすう	すうがくてきたいしょう
jpn-Jpan-JP	変数	数学的対象
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	переме́нная, переме́нная величина́	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
