locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	锐角三角形	；锐角
cmn-Latn-CN	ruìjiǎo sānjiǎoxíng	; ruìjiǎo
dan-Latn-DK		; 
deu-Latn-DE	spitzwinkliges Dreieck	nicht rechtwinkliges Dreieck, schiefwinkliges Dreieck; spitzer Winkel
eng-Latn-US	acute triangle	acute angle; oblique triangle
fin-Latn-FI		; 
fra-Latn-FR	triangle [m] acutangle, triangle aigu	; angle aigu
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	えいかくさんかくけい	えいかく；しゃかくさんかくけい、しゃさんかくけい、ひちょっかくさんかくけい
jpn-Jpan-JP	鋭角三角形	鋭角；斜角三角形、斜三角形、非直角三角形
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; о́стрый у́гол
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
