locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	圆周	圆；周长
cmn-Latn-CN	yuánzhōu	yuán; zhōucháng
dan-Latn-DK		; 
deu-Latn-DE	Kreisumfang	Kreis [m]; Umfang [m]
eng-Latn-US	circumference	circle; perimeter
fin-Latn-FI		; 
fra-Latn-FR	circonférence	cercle [m]; périmètre [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	えんしゅう	えん; しゅうちょう
jpn-Jpan-JP	円周	円；周長
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	окру́жность (верёвка)	окру́жность (фо́рма); пери́метр
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
