locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	直径	；圆
cmn-Latn-CN	zhíjìng	; yuán
dan-Latn-DK		; 
deu-Latn-DE	Durchmess	; Kreis [m]
eng-Latn-US	diameter	circle; line segment
fin-Latn-FI		; 
fra-Latn-FR	diamètre [m]	; cercle [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	けい	; えん
jpn-Jpan-JP	径	；円
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	диа́метр	; окру́жность (фо́рма)
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
