locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	级数	和；数列
cmn-Latn-CN	jíshù	hé; shù liè
dan-Latn-DK		; 
deu-Latn-DE	Reihe (Mathematik)	; Summe
eng-Latn-US	series	number sequence; sum
fin-Latn-FI		; 
fra-Latn-FR	série	; somme [f]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	きゅうすう	すうれつ; わ
jpn-Jpan-JP	級数	数列；和
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ряд	су́мма; числова́я после́довательность
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
