locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	狄利克雷函数	函数；无理数
cmn-Latn-CN	Dílìkèléi hánshù	hánshù; wúlǐshù
dan-Latn-DK		; 
deu-Latn-DE	Dirichlet-Funktion	Funktion; irrationale Zahl
eng-Latn-US	Dirichlet function	function; irrational number
fin-Latn-FI		; 
fra-Latn-FR	fonction de Dirichlet	fonction; nombre irrationnel
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ディリクレのかんすう	；むりすう
jpn-Jpan-JP	ディリクレの関数	；無理数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	функция Дирихле́	; иррациона́льное число́
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
