locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	反函数	逆映射
cmn-Latn-CN	fǎnhánshù	nìyìngshè
dan-Latn-DK		
deu-Latn-DE	Umkehrfunktion, inverse Funktion	Umkehrabbildung, inverse Abbildung
eng-Latn-US	anti-function, inverse function	inverse mapping
fin-Latn-FI		
fra-Latn-FR	fonction réciproque	bijection réciproque
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぎゃくかんすう	ぎゃくしゃぞう
jpn-Jpan-JP	逆函数	逆写像
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	обра́тная фу́нкция	обра́тное отображе́ние
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
