locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	指数函数	函数；幂、指数
cmn-Latn-CN	zhǐshù hánshù	hánshù; mì, zhǐshù
dan-Latn-DK		; 
deu-Latn-DE	Exponentialfunktion	Exponent [m], Hochzahl [f]; Funktion
eng-Latn-US	exponential function	exponent; function
fin-Latn-FI		; 
fra-Latn-FR		exposant; fonction
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	しすうかんすう	; べきしすう
jpn-Jpan-JP	指数函数	；冪指数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	показа́тельная фу́нкция	; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
