locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN		；布尔域；函数
cmn-Latn-CN		Bù’ěr-yù; hánshù; 
dan-Latn-DK		; ; 
deu-Latn-DE		; ; Funktion
eng-Latn-US	Boolean-valued function	Boolean domain; function; value
fin-Latn-FI		; ; 
fra-Latn-FR		; domaine booléen; fonction
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP		ブーリアンりょういき、ブールりょういき; ; 
jpn-Jpan-JP		；；ブーリアン領域、ブール領域
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; 
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
