locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN		单调递增函数；序数
cmn-Latn-CN		dāndiào dìzēng hánshù; xùshù
dan-Latn-DK		; 
deu-Latn-DE		; Ordinalzahl [f]
eng-Latn-US	normal function	monotonically increasing function; ordinal number
fin-Latn-FI		; 
fra-Latn-FR		; nombre ordinal
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		じゅんじょすう；たんちょうぞうかかんすう
jpn-Jpan-JP		順序数；単調増加関数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; ордина́лом, поря́дковым число́м
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
