locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN		；复数；函数
cmn-Latn-CN		; fùshù; hánshù
dan-Latn-DK		; ; 
deu-Latn-DE		; Funktion; komplexe Zahl
eng-Latn-US	complex-valued function	complex number; function; value
fin-Latn-FI		; ; 
fra-Latn-FR		; fonction; nombre [m] complexe
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP		; ; ふくそすう
jpn-Jpan-JP		；；複素数
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; ко́мплексное/компле́ксное число́
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
