locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN		；；函数
cmn-Latn-CN		; ; hánshù
dan-Latn-DK		; ; 
deu-Latn-DE		; ; Funktion
eng-Latn-US	function of several real variables, real multivariate function	argument; function; real variable
fin-Latn-FI		; ; 
fra-Latn-FR		; ; fonction
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP		；；
jpn-Jpan-JP		；；
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; 
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
