locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	函数	集、集合；二元关系
cmn-Latn-CN	hánshù	jí, jíhé; èryuán guānxi
dan-Latn-DK		; 
deu-Latn-DE	Funktion	Menge; binäre Relation
eng-Latn-US	function	binary relation; set
fin-Latn-FI		; 
fra-Latn-FR	fonction	ensemble [m]; relation binaire
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		; しゅうごう
jpn-Jpan-JP		；集合
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; мно́жество
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
