locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN		；；空集
cmn-Latn-CN		kōngjí; ; 
dan-Latn-DK		; ; 
deu-Latn-DE		; ; leere Menge
eng-Latn-US	power set, powerset	empty set; operation on a set; subset
fin-Latn-FI		; ; 
fra-Latn-FR		; ; ensemble vide
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP		くうしゅうごう; ; 
jpn-Jpan-JP		；；空集合
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; пусто́е мно́жество
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
