locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN		；函数；实数
cmn-Latn-CN		; hánshù; shíshù
dan-Latn-DK		; ; 
deu-Latn-DE		; Funktion; reelle Zahl
eng-Latn-US	real-valued function	function; real number; value
fin-Latn-FI		; ; 
fra-Latn-FR		; fonction; nombre réel
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP		; ; じっすう
jpn-Jpan-JP		；；実数
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU		; ; веще́ственное числó
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
