locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN		；空集；类；二元关系
cmn-Latn-CN		èryuán guānxi; lèi; kōngjí; 
dan-Latn-DK		; ; ; 
deu-Latn-DE		; Klasse; binäre Relation; leere Menge
eng-Latn-US	well-founded relation	binary relation; class; empty set; minimal element
fin-Latn-FI		; ; ; 
fra-Latn-FR		; classe [f]; ensemble vide; relation binaire
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP		; るい、クラス; くうしゅうごう; 
jpn-Jpan-JP		；；空集合；類、クラス
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU		; ; класс; пусто́е мно́жество
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
