locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	数列	数；序列
cmn-Latn-CN	shù liè	shù; xùliè
dan-Latn-DK		; 
deu-Latn-DE		Folge, Sequenz; Zahl [f] (abstrakte Identität)
eng-Latn-US	number sequence	number (abstract identity); sequence
fin-Latn-FI		; 
fra-Latn-FR		nombre [m]; suite [f] (mathématiques)
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	すうれつ	かず；れつ（すうがく）
jpn-Jpan-JP	数列	数；列（数学）
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	числова́я после́довательность	после́довательность; число́ (абстра́ктная иденти́чность)
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
