locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	欧几里得引理	素数、质数
cmn-Latn-CN	Ōujīlǐdé yǐnlǐ	sùshù, zhìshù
dan-Latn-DK		
deu-Latn-DE	Lemma von Euklid	Primzahl [f]
eng-Latn-US	Euclid’s lemma	prime, prime number
fin-Latn-FI		
fra-Latn-FR	lemme [m] d’Euclide	nombre premier
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ユークリッドのほだい	そすう
jpn-Jpan-JP	ユークリッドの補題	素数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	ле́мма Евкли́да	просто́е число́
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
