locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	特拉亨伯格速算系统	被乘数；乘数
cmn-Latn-CN	Tèlāhēngbógé sùsuàn xìtǒng	bèichéngshù; chéngshù
dan-Latn-DK		; 
deu-Latn-DE	Trachtenberg-Schnellrechenmethode, Trachtenberg-System [n]	Multiplikand; MultiplikatorGeneralnenn
eng-Latn-US	Trachtenberg system	multiplicand; multiplier
fin-Latn-FI		; 
fra-Latn-FR	méthode [f] Trachtenberg	multiplicande; multiplicateur
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		ひじょうすう; じょうすう
jpn-Jpan-JP		乗数；被乗数 
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		мно́жимое; мно́житель
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
