locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	被乘数	乘法；运算数、运算元
cmn-Latn-CN	bèichéngshù	chéngfǎ; yùnsuànshù, yùnsuànyuán
dan-Latn-DK		; 
deu-Latn-DE	Multiplikand	Multiplikation; Operand [m]
eng-Latn-US	multiplicand	multiplication; operand
fin-Latn-FI		; 
fra-Latn-FR	multiplicande	multiplication; opérande [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ひじょうすう	じょうほう；ひえんざんし
jpn-Jpan-JP	被乗数 	乗法；被演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	мно́жимое	опера́нд; умноже́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
