locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	冪	幂运算、指数运算
cmn-Latn-CN	mì	mìyùnsuàn, zhǐshù yùnsuàn
dan-Latn-DK		
deu-Latn-DE	Potenzwert [m]	Potenz
eng-Latn-US	power (arithmetic)	exponentiation
fin-Latn-FI		
fra-Latn-FR	puissance (arithmétique)	exponentiation [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	べき	べきえんざん、べきじょう
jpn-Jpan-JP	冪	冪演算、冪乗
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	сте́пень [ж]	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
