locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	商	除法；运算数、运算元
cmn-Latn-CN	shāng	chúfǎ; yùnsuànshù, yùnsuànyuán
dan-Latn-DK		; 
deu-Latn-DE	Quotient [m]	Division; Operand [m]
eng-Latn-US	quotient	division; operand
fin-Latn-FI		; 
fra-Latn-FR	quotient	division; opérande [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	しょう	じょざん、じょほう、わりざん；ひえんざんし
jpn-Jpan-JP	商	除算、除法、割り算；被演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ча́стное	деле́ние; опера́нд
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
