locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	根	；运算数、运算元
cmn-Latn-CN	gēn	; yùnsuànshù, yùnsuànyuán
dan-Latn-DK		; 
deu-Latn-DE	Wurzel [f]	; Operand [m]
eng-Latn-US	root	operand; root extraction
fin-Latn-FI		; 
fra-Latn-FR	racine	; opérande [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	こん	; ひえんざんし
jpn-Jpan-JP	根	；被演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ко́рень [м]	; опера́нд
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
