locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	除法	算术运算
cmn-Latn-CN	chúfǎ	suànshù yùnsuàn
dan-Latn-DK		
deu-Latn-DE	Division	arithmetische Operation
eng-Latn-US	division	arithmetic operation
fin-Latn-FI		
fra-Latn-FR	division	opération arithmétique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じょざん、じょほう、わりざん	
jpn-Jpan-JP	除算、除法、割り算	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	деле́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
