locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	二进制指算法	四则运算；二进制
cmn-Latn-CN	èrjìnzhì zhǐsuànfǎ	sìzé yùnsuàn; èrjìnzhì
dan-Latn-DK		; 
deu-Latn-DE	Binärzählen mit Fingern [m-pl]	Binärsystem [n], Dualsystem [n], Zweiersystem [n]; Grundrechenarten [f-pl], Grundrechnungsarten [f-pl]
eng-Latn-US	finger binary	basic operations; binary system
fin-Latn-FI		; 
fra-Latn-FR		opérations élémentaires; système binaire
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	にしんゆびかぞえほう	しそくえんざん; にしんほう
jpn-Jpan-JP	二進指数え法	四則演算；二進法
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		двойна́я систе́ма; основны́м де́йствиям
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
