locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	连分数、繁分数	；乘法逆元、倒数；整数
cmn-Latn-CN	fánfēnshù, liánfēnshù	; chéngfǎ nìyuán, dàoshù; zhěngshù
dan-Latn-DK		; ; 
deu-Latn-DE	Kettenbruch [m]	; Ganzzahl [f], ganze Zahl; Kehrwert [m], Reziproke [n], reziprokes Wert
eng-Latn-US	continued fraction	integer; iteration; multiplicative inverse, reciprocal
fin-Latn-FI		; ; 
fra-Latn-FR	fraction continue	; enti; inverse [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	れんぶんすう	；ぎゃくすう；せいすう
jpn-Jpan-JP	連分数	；逆数；整数
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	непреры́вная дробь, цепна́я дробь	; обра́тное число́; це́лое число́
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
