locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	小数	分母；幂、指数
cmn-Latn-CN	xiǎoshù	fēnmǔ; mì, zhǐshù
dan-Latn-DK		; 
deu-Latn-DE	Dezimalbruch [m], Zehnerbruch [m]	Exponent [m], Hochzahl [f]; Nenner
eng-Latn-US	decimal fraction, decimal number	denominator; exponent
fin-Latn-FI		; 
fra-Latn-FR	fraction décimale	dénominateur; exposant
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	しょうすう	ぶんぼ; べきしすう
jpn-Jpan-JP	小数	分母；冪指数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	десяти́чная дробь	; знамена́тель
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
