locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	假分数	绝对值、模
cmn-Latn-CN	jiǎfēnshù	juéduìzhí, mó
dan-Latn-DK		
deu-Latn-DE	unechter Bruch, uneigentlicher Bruch	Absolutbetrag [m], Absolutwert [m], absoluter Betrag, absoluter Wert
eng-Latn-US	improper fraction	absolute value, modulus
fin-Latn-FI		
fra-Latn-FR	fraction impropre	module [m], valeur absolue
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かぶんすう	ぜったいち、ぼすう
jpn-Jpan-JP	仮分数	絶対値、母数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	непра́вильная дробь	абсолю́тная величина́, мо́дуль [м]
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
