locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	真分数	分数
cmn-Latn-CN	zhēnfēnshù	fēnshù
dan-Latn-DK		
deu-Latn-DE	echter Bruch, eigentlicher Bruch	Bruch [m]
eng-Latn-US	proper fraction	fraction
fin-Latn-FI		
fra-Latn-FR	fraction propre	fraction
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しんぶんすう	ぶんすう
jpn-Jpan-JP	真分数	分数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пра́вильная дробь	дробь
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
