locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	自然数	；非负数；正数；整数
cmn-Latn-CN	zìránshù	; fēifùshù; zhèngshù; zhěngshù
dan-Latn-DK		; ; ; 
deu-Latn-DE	natürliche Zahl	; Ganzzahl [f], ganze Zahl; nichtnegative Zahl; positive Zahl
eng-Latn-US	counting number, natural number	integer; non-negative number; number set, number system; positive number
fin-Latn-FI		; ; ; 
fra-Latn-FR	entier naturel	; enti; nombre [m] non négatif; nombre positif
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	しぜんすう	；せいすう；せいすう、せいのすう；ふでないすう
jpn-Jpan-JP	自然数	；整数；正数、正の数；負でない数
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	натура́льное число́	; неотрица́тельное число́; це́лое число́; число́ положи́тельно
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ	NN, ط	
