locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	非负数	自然对数
cmn-Latn-CN	fēifùshù	zìrán duìshù
dan-Latn-DK		
deu-Latn-DE	nichtnegative Zahl	negative Zahl
eng-Latn-US	non-negative number	negative number
fin-Latn-FI		
fra-Latn-FR	nombre [m] non négatif	nombre [m] négatif
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ふでないすう	ふのすう
jpn-Jpan-JP	負でない数	負の数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	неотрица́тельное число́	отрица́тельное число́
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
