locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	正数	数
cmn-Latn-CN	zhèngshù	shù
dan-Latn-DK		
deu-Latn-DE	positive Zahl	Zahl [f] (abstrakte Identität)
eng-Latn-US	positive number	number (abstract identity)
fin-Latn-FI		
fra-Latn-FR	nombre positif	nombre [m]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	せいすう、せいのすう	かず
jpn-Jpan-JP	正数、正の数	数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	число́ положи́тельно	число́ (абстра́ктная иденти́чность)
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
