locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	素数、质数	积；自然数
cmn-Latn-CN	sùshù, zhìshù	jī; zìránshù
dan-Latn-DK		; 
deu-Latn-DE	Primzahl [f]	Produkt [n]; natürliche Zahl
eng-Latn-US	prime, prime number	counting number, natural number; product
fin-Latn-FI		; 
fra-Latn-FR	nombre premier	entier naturel; produit
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	そすう	しぜんすう；せき
jpn-Jpan-JP	素数	自然数；積
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	просто́е число́	натура́льное число́; произведе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	bbbP	
