locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	有理数	分母；分子（分数）；整数
cmn-Latn-CN	yǒulǐshù	fēnmǔ; zhěngshù; fěnzǐ (fēnshù)
dan-Latn-DK		; ; 
deu-Latn-DE	rationale Zahl	Ganzzahl [f], ganze Zahl; Nenner; Zähler
eng-Latn-US	rational number	denominator; integer; numerator
fin-Latn-FI		; ; 
fra-Latn-FR	nombre rationnel	dénominateur; enti; numérateur
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ゆうりすう	ぶんぼ; せいすう; ぶんし（ぶんすう）
jpn-Jpan-JP	有理数	整数；分子（分数）；分母
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	рационáльное числó	знамена́тель; це́лое число́; числи́тель
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ	QQ, ن	
