locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	公差（算术）	等差数列、算术数列
cmn-Latn-CN	gōngchā (suànshù)	děngchā shùliè, suànshù shùliè
dan-Latn-DK		
deu-Latn-DE		arithmetische Folge, arithmetische Progression
eng-Latn-US	common difference	arithmetic progression, arithmetic sequence
fin-Latn-FI		
fra-Latn-FR		croissance linéaire, progression arithmétique, suite [f] arithmétique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	こうさ（さんじゅつ）	さんじゅつすうれつ、とうさすうれつ
jpn-Jpan-JP	公差（算術）	算術数列、等差数列
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		арифмети́ческая прогре́ссия
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
