locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	公比	等比数列
cmn-Latn-CN	gōngbǐ	děngbǐ shùliè
dan-Latn-DK		
deu-Latn-DE		geometrische Folge
eng-Latn-US	common ratio	geometric progression, geometric sequence
fin-Latn-FI		
fra-Latn-FR		suite [f] géométrique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	こうひ	きかすうれつ、とうひすうれつ
jpn-Jpan-JP	公比	幾何数列、等比数列
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
