locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	共轭复数	；复数
cmn-Latn-CN	gòng’è fùshù	; fùshù
dan-Latn-DK		; 
deu-Latn-DE	komplexe Konjugation	; komplexe Zahl
eng-Latn-US	complex conjugate	complex number; sign (mathematics)
fin-Latn-FI		; 
fra-Latn-FR	conjugué	; nombre [m] complexe
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ふくそきょうやく	; ふくそすう
jpn-Jpan-JP	複素共役	；複素数
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	сопряжённое число́	; ко́мплексное/компле́ксное число́
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
