locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	因式分解	积；数学对象
cmn-Latn-CN	yīnshì fēnjiě	shùxué duìxiàng; jī
dan-Latn-DK		; 
deu-Latn-DE	Faktorisierung	Produkt [n]; mathematisches Objekt
eng-Latn-US	factoring, factorization	mathematical object; product
fin-Latn-FI		; 
fra-Latn-FR	factorisation	objet mathématique; produit
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		すうがくてきたいしょう; せき
jpn-Jpan-JP		数学的対象；積
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; произведе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
