locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	最大公因数、最大公约数	除法；零；整数
cmn-Latn-CN	zuìdà gōngyuēshù, zuìdà gōngyīnshù	chúfǎ; zhěngshù; líng
dan-Latn-DK		; ; 
deu-Latn-DE	größter gemeinsamer Teiler	Division; Ganzzahl [f], ganze Zahl; Null [f]
eng-Latn-US	greatest common divisor, greatest common factor, highest common divisor	division; integer; zero
fin-Latn-FI		; ; 
fra-Latn-FR	plus grand commun diviseur	division; enti; zéro [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	さいだいこうやくすう	じょざん、じょほう、わりざん; せいすう; れい、ゼロ
jpn-Jpan-JP	最大公約数	除算、除法、割り算；整数；零、ゼロ
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	наибо́льшим о́бщим дели́телем	деле́ние; ноль [м], нуль [м]; це́лое число́
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
