locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	运算次序、运算顺序	运算数、运算元
cmn-Latn-CN	yùnsuàn cìxù, yùnsuàn shùnxù	yùnsuànshù, yùnsuànyuán
dan-Latn-DK		
deu-Latn-DE	Operatorpräzedenz, Operatorrangfolge	Operand [m]
eng-Latn-US	operator precedence, order of operation	operand
fin-Latn-FI		
fra-Latn-FR	ordre [m] des opérations [f-pl], priorité des opérations [f-pl]	opérande [m]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	えんざんしのゆうせんじゅんい	ひえんざんし
jpn-Jpan-JP	演算子の優先順位	被演算子
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	приорите́т опера́тора, приорите́т опера́ции	опера́нд
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
