locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	进位计数法、进位制、位值计数法	记数法、记数系统、数制
cmn-Latn-CN	jìnwèi jìshùfǎ, jìnwèizhì, wèizhí jìshùfǎ	jìshùfǎ, jìshùxìtǒng, shùzhì
dan-Latn-DK		
deu-Latn-DE	Stellenschreibweise	Zahlensystem [n] Ziffernsystem [n]
eng-Latn-US	place-value notation, positional notation, positional numeral system	numeral system
fin-Latn-FI		
fra-Latn-FR	notation positionnelle	système de numération
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	くらいどりきすうほう	めいすうほう
jpn-Jpan-JP	位取り記数法	命数法
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	позиционная систе́ма счисле́ния	систе́ма счисле́ния
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
