locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	循环节	循环小数
cmn-Latn-CN	xúnhuánjié	xúnhuán xiǎoshù
dan-Latn-DK		
deu-Latn-DE	Periode	periodischer Dezimalbruch
eng-Latn-US	repetend, reptend	recurring decimal, repeating decimal
fin-Latn-FI		
fra-Latn-FR	période [f]	développement décimal périodique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅんかんぜつ	じゅんかんしょうすう
jpn-Jpan-JP	循環節	循環小数
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пери́одом	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
