locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	有效数位、有效数字	进位计数法、进位制、位值计数法
cmn-Latn-CN	yǒuxiào shùwèi, yǒuxiào shùzì	jìnwèi jìshùfǎ, jìnwèizhì, wèizhí jìshùfǎ
dan-Latn-DK		
deu-Latn-DE	signifikante Stellen [f-pl], signifikante Ziffern [f-pl]	Stellenschreibweise
eng-Latn-US	significant digits, significant figures	place-value notation, positional notation, positional numeral system
fin-Latn-FI		
fra-Latn-FR	chiffres significatifs	notation positionnelle
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ゆうこうすうじ	くらいどりきすうほう
jpn-Jpan-JP	有効数字	位取り記数法
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		позиционная систе́ма счисле́ния
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
