locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	随机试验	；；集、集合
cmn-Latn-CN	suíjī shìyàn	; ; jí, jíhé
dan-Latn-DK		; ; 
deu-Latn-DE	Zufallsexperiment, Zufallsversuch [m], Zufallsvorgang [m]	; ; Menge
eng-Latn-US	experiment, trial	outcome; sample space; set
fin-Latn-FI		; ; 
fra-Latn-FR	expérience aléatoire	; ; ensemble [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	しこう（試行） [0]	；；しゅうごう
jpn-Jpan-JP	試行	；；集合
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	случа́йный экспериме́нт	; ; мно́жество
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
