locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	大数定律、大数法则、大数律	随机试验
cmn-Latn-CN	dàshù dìnglǜ, dàshù fǎzé, dàshùlǜ	suíjī shìyàn
dan-Latn-DK		
deu-Latn-DE	Gesetze der großen Zahlen	Zufallsexperiment, Zufallsversuch [m], Zufallsvorgang [m]
eng-Latn-US	law of large numbers	experiment, trial
fin-Latn-FI		
fra-Latn-FR	loi [f] des grands nombres	expérience aléatoire
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	たいすうのほうそく	しこう（試行） [0]
jpn-Jpan-JP	大数の法則	試行
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н бо́льших/больши́х чи́сел	случа́йный экспериме́нт
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
