locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	概率分布	函数；随机试验
cmn-Latn-CN	gàilǜ fēnbù	hánshù; suíjī shìyàn
dan-Latn-DK		; 
deu-Latn-DE	Wahrscheinlichkeitsmaß [n]	Funktion; Zufallsexperiment, Zufallsversuch [m], Zufallsvorgang [m]
eng-Latn-US	probability distribution	experiment, trial; function
fin-Latn-FI		; 
fra-Latn-FR	loi [f] de probabilité	expérience aléatoire; fonction
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	かくりつぶんぷ	; しこう（試行） [0]
jpn-Jpan-JP	確率分布	；試行
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	распределе́ние вероя́тностей	; случа́йный экспериме́нт
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
