locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	机会误差、随机误差、未定误差、偶然误差	；测量误差、观测误差
cmn-Latn-CN	jīhuì wùchā, suíjī wùchā, wèidìng wùchā, ǒurán wùchā	; cèliáng wùchā, guāncè wùchā
dan-Latn-DK		; 
deu-Latn-DE	zugfällige Messabweichung	; Messabweichung
eng-Latn-US	random error	measurement error, observational error; randomness
fin-Latn-FI		; 
fra-Latn-FR	erreur aléatoire	; erreur de mesure
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ぐうぜんごさ、ぐうはつごさ	; けいそくきき
jpn-Jpan-JP	偶発誤差、偶然誤差	；計測機器
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	случа́йная погре́шность	; погре́шность измере́ния
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
