locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	加性高斯白噪声	
cmn-Latn-CN	jiāxìng Gāosī báizàoshēng	
dan-Latn-DK		
deu-Latn-DE	additives weißes gaußsches Rauschen	
eng-Latn-US	additive white Gaussian noise	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かさんせいはくしょくがうすざつおん	
jpn-Jpan-JP	加算性白色ガウス雑音	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	аддити́вный бе́лый гауссовский шум	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
