locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	抽象化	；观念、概念
cmn-Latn-CN	chōuxiànghuà	; guānniàn, gàiniàn
dan-Latn-DK		; 
deu-Latn-DE	Abstraktion	; Begriff [m]
eng-Latn-US	abstraction	concept; rule
fin-Latn-FI		; 
fra-Latn-FR	abstraction	; concept
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ちゅうしょうか	；がいねん
jpn-Jpan-JP	抽象化	；概念
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	абстра́кция	; поня́тие
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
