locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	接续理论、接续论	同一性
cmn-Latn-CN	jiēxù lǐlùn, jiēxùlùn	tóngyīxìng
dan-Latn-DK		
deu-Latn-DE		Identität
eng-Latn-US	perdurance theory, perdurantism	identity (metaphysics)
fin-Latn-FI		
fra-Latn-FR	perdurance	identité
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		どういつせい
jpn-Jpan-JP		同一性
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пердуранти́зм, пермане́нтности	то́ждество
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
