locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	细胞膜、原生质膜、质膜	；；胞浆、胞质、细胞质
cmn-Latn-CN	xìbāomó, yuánshēngzhì mó, zhìmó	; bāojiāng, bāozhì, xìbāozhì; 
dan-Latn-DK		; ; 
deu-Latn-DE	Plasmalemma, Plasmamembran [f], Zellmembran [f], Zytomembran [f]	; ; Cytoplasma, Zytoplasma
eng-Latn-US	cell membrane, cytoplasmic membrane, plasma membrane	biological membrane, biomembrane; cytoplasm; extracellular space
fin-Latn-FI		; ; 
fra-Latn-FR	membrane [f] cytoplasmique, membrane [f] plasmique, membrane cellulaire, voire plasmalemme	; ; cytoplasme
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	けいしつまく、さいぼうまく、プラズマメンブレン	; さいぼうしつ; 
jpn-Jpan-JP	形質膜、細胞膜、プラズマメンブレン	；；細胞質
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	кле́точная мембра́на	; ; цитопла́зма
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
