locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	强度性质	物理性质、物性
cmn-Latn-CN	qiángdù xìngzhì	wùlǐ xìngzhì, wùxìng
dan-Latn-DK		
deu-Latn-DE	extensive Größe	Stoffeigenschaft
eng-Latn-US	extensive property	physical property
fin-Latn-FI		
fra-Latn-FR	extensivité	propriété physique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しりょうせい	ぶっせい
jpn-Jpan-JP	示量性	物性
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		физи́ческие сво́йства
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
