locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	声音	传输介质；声波、声学波动；振动
cmn-Latn-CN	shēngyīn	chuánshū jièzhì; shēngbō, shēngxué bōdòng; zhèndòng
dan-Latn-DK		; ; 
deu-Latn-DE	Schall [m]	Akustikwelle, Schallwelle, akustische Welle; Erschütterung, Vibration; Übertragungsmedium, Übertragungsmittel
eng-Latn-US	sound	acoustic wave; transmission medium; vibration
fin-Latn-FI		; ; 
fra-Latn-FR	son [m]	onde [f] acoustique; support de transmission; vibration
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	おと	おんぱ；しんどう；ばいしつ
jpn-Jpan-JP	音	音波；振動；媒質
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	звук	акусти́ческая волна́; вибра́ция; среда́ переда́чи
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
