locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	电抗	；超导现象；电容
cmn-Latn-CN	diànkàng	; chāodǎo xiànxiàng; diànróng
dan-Latn-DK		; ; 
deu-Latn-DE	Blindwiderstand [m], Reaktanz	; Supraleitung; elektrische Kapazität
eng-Latn-US	electrical reactance	electrical capacitance; inductance; superconductivity
fin-Latn-FI		; ; 
fra-Latn-FR	réactance	; capacité électrique; supraconduction, supraconductivité
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	リアクタンス	；せいでんようりょう、でんきようりょう、キャパシタンス；ちょうでんどう
jpn-Jpan-JP	リアクタンス	；静電容量、電気容量、キャパシタンス；超伝導
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ اَبَررسانایی
por-Latn-PT		; ; 
rus-Cyrl-RU	реакта́нс, реакти́вное сопротивле́ние	; сверхпроводи́мость; электри́ческая ёмкость
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
